#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2013-09-30	2013.747668	2013.561727	2013.967558
NODE_0000082	2013-11-02	2013.836631	2013.703003	2013.989570
EM_079412	2014-03-29	2014.240000	2014.240000	2014.240000
NODE_0000085	2014-03-10	2014.188680	2014.100335	2014.244358
EM_079587	2014-04-20	2014.300000	2014.300000	2014.300000
EM_079514	2014-04-09	2014.270000	2014.270000	2014.270000
EM_079578	2014-04-16	2014.290000	2014.290000	2014.290000
NODE_0000003	2013-12-15	2013.955416	2013.796521	2014.145700
NODE_0000089	2014-02-03	2014.092625	2013.977651	2014.211475
EM_079630	2014-05-01	2014.330000	2014.330000	2014.330000
NODE_0000091	2014-04-07	2014.265107	2014.173462	2014.320000
EM_079659	2014-05-05	2014.340000	2014.340000	2014.340000
EM_079622	2014-04-27	2014.320000	2014.320000	2014.320000
NODE_0000092	2014-03-15	2014.202529	2014.110967	2014.282821
EM_079702	2014-05-12	2014.360000	2014.360000	2014.360000
NODE_0000007	2014-05-12	2014.360000	2014.242714	2014.360000
EM_079731	2014-05-19	2014.380000	2014.380000	2014.380000
EM_079685	2014-05-12	2014.360000	2014.360000	2014.360000
NODE_0000093	2014-04-22	2014.305975	2014.242079	2014.344745
EM_079749	2014-05-19	2014.380000	2014.380000	2014.380000
EM_079681	2014-05-12	2014.360000	2014.360000	2014.360000
EM_079753	2014-05-23	2014.390000	2014.390000	2014.390000
NODE_0000009	2014-01-23	2014.061969	2013.936410	2014.172772
NODE_0000011	2014-03-29	2014.240000	2014.114536	2014.240000
EM_079405	2014-03-29	2014.240000	2014.240000	2014.240000
EM_079444	2014-04-02	2014.250000	2014.250000	2014.250000
NODE_0000097	2014-03-03	2014.168684	2014.067906	2014.229664
EM_079408	2014-03-29	2014.240000	2014.240000	2014.240000
EM_079464	2014-04-02	2014.250000	2014.250000	2014.250000
NODE_0000099	2014-10-20	2014.801832	2014.646139	2014.993499
NODE_0000100	2015-04-18	2015.293583	2015.141186	2015.360000
EM_COY_2015_016449	2015-05-12	2015.360000	2015.360000	2015.360000
EM_COY_2015_017018	2015-05-27	2015.400000	2015.400000	2015.400000
NODE_0000101	2014-11-18	2014.881632	2014.748791	2015.036235
CON12930	2015-10-12	2015.780000	2015.780000	2015.780000
NODE_0000103	2015-01-27	2015.073625	2014.959073	2015.192360
IPDPFHGINSP_GUI_2015_6505	2015-05-01	2015.330000	2015.330000	2015.330000
NODE_0000104	2015-02-20	2015.139305	2015.037341	2015.229722
EM_COY_2015_016263	2015-05-05	2015.340000	2015.340000	2015.340000
NODE_0000105	2015-03-22	2015.219836	2015.131476	2015.292239
EM_COY_2015_015982	2015-04-20	2015.300000	2015.300000	2015.300000
NODE_0000106	2015-04-22	2015.304593	2015.230090	2015.346057
EM_COY_2015_016642	2015-05-16	2015.370000	2015.370000	2015.370000
