strain	predicted_date
NODE_0000001	2014-03-11 03:00:15.688478
NODE_0000063	2014-03-20 12:02:39.636842
NODE_0000061	2014-04-01 06:16:35.394288
NODE_0000060	2014-04-08 17:17:43.427125
NODE_0000053	2014-04-17 18:58:15.333253
NODE_0000000	2014-05-23 05:20:23.360597
NODE_0000130	2014-06-01 21:15:50.734864
NODE_0000215	2014-06-19 07:43:08.411866
NODE_0000311	2014-11-18 08:25:43.392335
NODE_0000334	2014-12-07 23:08:20.240480
NODE_0000335	2015-03-14 20:19:22.716065
NODE_0000336	2015-04-01 15:11:01.519776
NODE_0000264	2015-04-07 08:24:58.073731
NODE_0000268	2015-04-12 19:24:52.031251
NODE_0000271	2015-04-18 01:11:05.502320
NODE_0000272	2015-04-23 00:18:04.630738
NODE_0000346	2015-05-27 08:19:14.393922
NODE_0000351	2015-06-21 21:20:25.530397
NODE_0000352	2015-07-16 11:13:12.339479
NODE_0000353	2015-08-10 05:57:21.747438
NODE_0000285	2015-08-15 00:36:12.483216
NODE_0000356	2015-09-12 13:43:42.483216
NODE_0000357	2015-10-05 03:14:46.918031
REDC_GUI_2015_02242	2015-10-22 15:47:46.764222
EM_FORE_2015_2781	2015-10-12 15:20:35.582887
EM_FORE_2015_2878	2015-10-22 15:47:46.764222
FCH_730	2015-09-23 15:17:07.488099
FCH1785_S	2015-09-12 14:53:38.161927
FCH_731	2015-09-23 16:56:43.734742
FCH_729	2015-09-23 15:46:25.973512
REDC_GUI_2015_01408	2015-09-01 15:40:42.705689
REDC_GUI_2015_01323	2015-08-25 15:17:42.713014
NODE_0000279	2015-06-24 06:45:14.452516
NODE_0000280	2015-07-20 21:57:35.370484
CON-10590	2015-08-10 15:11:32.418824
CON-10193	2015-08-03 15:25:54.461061
CON-10512	2015-08-10 15:16:04.989625
NODE_0000350	2015-07-15 10:41:34.725953
REDC_GUI_2015_01165	2015-08-18 16:39:28.822633
CON-11010	2015-08-21 14:42:19.660035
NODE_0000273	2015-05-12 10:12:53.607789
EM_COY_2015_017135	2015-05-30 15:08:48.612672
EM_COY_2015_016800	2015-05-19 15:32:54.811708
EM_COY_2015_017787	2015-06-13 14:51:03.378297
REDC-GUI-2015-00502	2015-07-12 14:39:18.632813
NODE_0000341	2015-07-07 22:17:04.343263
REDC_GUI_2015_01285	2015-08-21 16:09:10.393067
EM_COY_2015_023747	2015-09-09 14:07:20.090333
NODE_0000345	2015-05-11 06:26:24.371339
EM_COY_2015_016531	2015-05-11 17:48:32.410699
EM_COY_2015_016617	2015-05-15 15:26:14.318849
EM_COY_2015_016456	2015-05-11 15:50:51.046144
IPDPFHGINSP_GUI_2015_5038	2015-04-01 19:19:19.391414
A023888	2015-09-12 12:42:07.657472
EM_COY_2015_015815	2015-04-12 15:35:00.509034
NODE_0000320	2015-03-08 02:45:36.507569
NODE_0000321	2015-05-11 04:48:28.773194
NODE_0000246	2015-05-19 01:55:31.060182
NODE_0000247	2015-05-26 08:45:22.417604
NODE_0000248	2015-06-02 14:02:19.010011
NODE_0000249	2015-06-09 21:53:25.046998
NODE_0000250	2015-06-16 09:14:00.775453
NODE_0000251	2015-06-22 02:40:33.614503
NODE_0000253	2015-06-28 00:59:58.824464
NODE_0000257	2015-07-04 20:37:34.853211
NODE_0000258	2015-07-10 18:09:31.871339
EM-FORE-2015-1414	2015-07-12 16:22:25.374070
CON-10786	2015-08-14 14:45:34.530030
REDC-GUI-2015-00497	2015-07-12 15:26:00.393678
EM_FORE_2015_1076	2015-07-01 15:50:46.287690
NODE_0000252	2015-06-27 00:31:58.575440
EM_COY_2015_022059	2015-07-01 15:37:04.764405
EM_FORE_2015_1140	2015-07-01 15:37:04.764405
EM_FORE_2015_1023	2015-06-28 15:18:05.660707
CON-8811	2015-06-24 15:13:46.149903
EM_FORE_2015_1437	2015-07-12 15:14:23.558351
EM_FORE_2015_1313	2015-07-09 15:07:01.990357
EM_COY_2015_017174	2015-05-30 15:14:11.940309
EM_FORE_2015-1971	2015-08-14 15:38:24.525147
EM-FORE-2015-664	2015-06-02 15:28:45.106202
EM_FORE_2015_934	2015-06-20 17:25:20.650636
EM_FORE_2015_697	2015-06-06 15:57:31.003419
EM_COY_2015_016278	2015-05-04 14:15:38.924562
NODE_0000319	2014-12-18 12:17:56.802980
0205_C1_PL5428	2015-03-25 15:39:32.750245
0807_C1_14750_EMLK	2015-04-19 15:03:41.846925
NODE_0000317	2014-12-21 02:01:20.013429
CON-8559	2015-06-20 17:00:39.144288
EM_COY_2015_015980	2015-04-19 15:35:45.662843
NODE_0000312	2015-01-12 16:23:14.307862
0205_C2_PL6070	2015-04-08 19:10:51.412355
EM_GUI_2015_004674	2015-03-25 13:56:39.532472
1807_C2_14795_EMLK	2015-04-23 13:10:06.917726
EM_COY_2015_015972	2015-04-19 14:23:40.784913
NODE_0000254	2014-07-12 13:14:09.166261
NODE_0000277	2014-10-07 09:02:46.475831
NODE_0000278	2014-11-04 15:37:53.543702
NODE_0000281	2015-01-09 19:09:32.640382
NODE_0000286	2015-01-27 06:20:19.680177
NODE_0000294	2015-03-06 19:39:05.339356
1105_C1_MK2790	2015-03-07 16:28:09.702760
Makona-UK3	2015-03-10 15:28:45.497590
NODE_0000290	2015-02-22 20:57:28.916017
1805_C1_MK2382	2015-02-24 15:43:25.275880
1805_C1_MK2724	2015-03-03 15:19:54.960939
1805_C1_MK2255	2015-02-20 15:33:22.456056
1805_C1_MK2397	2015-02-24 16:04:56.608888
2104_C1_MK2343	2015-02-24 15:27:32.431642
1805_C1_MK2825	2015-03-07 15:11:56.396485
3004_C1_KT5858	2015-03-10 15:43:40.437013
2507_C2_10353_EMLK	2015-02-05 15:54:38.875123
NODE_0000284	2015-02-04 22:50:31.710206
2607_C2_12781_EMLH	2015-04-05 14:45:00.911866
DML12120	2015-02-27 16:23:41.663819
1807_C2_10398_EMLK	2015-02-09 15:31:11.814881
NODE_0000233	2015-01-30 06:32:42.081300
0305_C2_PL4570	2015-03-10 15:25:53.719483
3004_C2_KT5382	2015-02-24 15:02:32.633058
NODE_0000223	2014-12-16 04:15:37.166749
NODE_0000230	2015-01-05 04:15:27.773439
2507_C1_77795_EMLK	2015-01-14 15:29:54.155274
2507_C2_10084_EMLK	2015-01-22 15:12:00.516358
2807_C2_77712_EMLK	2015-01-07 15:04:10.191651
J0129	2014-11-02 15:28:44.117433
NODE_0000265	2014-11-21 23:32:13.297120
NODE_0000266	2014-12-13 11:39:30.168458
NODE_0000267	2015-01-03 04:22:19.760743
NODE_0000269	2015-01-19 03:42:51.740113
NODE_0000270	2015-04-06 00:17:50.787965
NODE_0000219	2015-04-17 03:44:11.665650
1807_C2_14782_EMLK	2015-04-23 15:27:20.607606
1807_C1_14888_EMLK	2015-04-30 15:14:23.887940
1807_C2_14830_EMLK	2015-04-27 16:05:31.298219
NODE_0000216	2015-02-28 03:36:13.925172
0205_C2_PL5868	2015-04-05 14:46:40.036012
0205_C2_PL6086	2015-04-12 15:23:10.490113
2507_C2_10080_EMLK	2015-01-22 16:57:25.984040
2807_C2_77693_EMLK	2015-01-07 15:26:26.760865
2507_C1_77748_EMLK	2015-01-11 15:20:07.485353
0208_C1_77679_EMLK	2015-01-07 15:33:26.740724
2807_C2_77716_EMLK	2015-01-07 15:37:33.768312
NODE_0000255	2014-08-10 10:19:30.681153
NODE_0000256	2014-08-18 04:49:54.672547
2507_C2_10123_EMLK	2015-01-25 13:38:05.395204
J0170	2014-11-10 15:54:08.676454
Makona-G5114.1	2014-08-18 16:00:41.367303
Makona-G5112.1	2014-08-18 16:00:41.367303
J0081	2014-10-15 15:10:11.257325
NODE_0000275	2014-12-20 01:31:18.804933
NODE_0000276	2015-01-21 22:16:04.193116
2906_C2_KT5034	2015-02-13 16:25:27.956544
3004_C1_KT5974	2015-03-14 14:23:49.024659
1007_C2_PL4105	2015-02-27 14:30:39.034425
NODE_0000262	2014-11-08 01:03:18.555909
NODE_0000263	2015-01-04 19:11:04.595948
0806_C2_KT4631	2015-02-02 14:52:45.633546
0806_C1_KT4677	2015-02-02 16:58:51.203614
DML25411	2015-03-10 16:43:31.153565
J0167	2014-11-06 14:33:48.878175
J0124	2014-11-02 15:11:50.299073
NODE_0000218	2014-07-21 05:55:10.982667
NODE_0000225	2014-08-01 07:24:22.038575
NODE_0000226	2014-08-12 12:25:08.565675
NODE_0000228	2014-09-03 03:34:10.081788
NODE_0000229	2014-09-17 05:58:13.410646
NODE_0000231	2014-10-06 06:09:59.227296
NODE_0000232	2014-10-29 17:47:45.377198
V20143360	2014-10-30 15:14:39.857598
V20143415	2014-10-30 15:14:39.857598
V20144820	2014-11-13 15:36:36.090089
J0161	2014-11-06 14:24:26.433106
1708_C1_12705_EMLH	2015-03-28 17:12:36.496583
J0056	2014-10-08 16:53:24.744874
NODE_0000227	2014-08-25 19:01:02.105714
J0127	2014-10-30 17:28:57.520753
J0076	2014-10-15 14:49:36.778565
J0037	2014-10-01 16:42:54.074708
NODE_0000224	2014-10-09 18:49:47.105714
V20143648	2014-11-02 16:16:21.002198
1708_C2_MK2656R2	2015-03-03 15:04:47.105714
NODE_0000222	2014-11-21 08:01:03.863526
1007_C2_MK0020	2014-12-05 16:02:13.626710
1309_C2_MK13013	2015-09-12 14:28:10.718995
NODE_0000220	2014-08-17 13:47:33.731690
3004_C2_KT5320	2015-02-24 14:03:28.223878
V20140024	2014-08-18 16:34:17.205735
1507_C2_MK0864	2015-01-03 13:28:59.058839
NODE_0000298	2014-07-15 11:05:59.505616
NODE_0000301	2014-08-07 09:13:59.827882
NODE_0000305	2014-08-25 20:43:40.162355
NODE_0000308	2014-10-18 08:18:08.887940
NODE_0000310	2014-11-27 07:01:49.237062
1507_C2_MK0575	2014-12-27 15:51:40.155030
0507_C2_MK0664	2014-12-27 15:19:45.402833
2906_C2_MK0368	2014-12-20 16:13:19.068605
V20144192	2014-11-06 15:14:50.584718
NODE_0000306	2014-10-25 16:36:20.050050
0507_C2_MK0392	2014-12-20 16:21:21.917726
2906_C2_MK0366	2014-12-20 15:50:04.573976
1708_C1_MK0491R	2014-12-20 14:46:34.515382
NODE_0000189	2014-09-06 03:30:26.125489
J0019	2014-09-23 15:11:26.898194
J0015	2014-09-23 15:11:26.898194
J0096	2014-10-26 16:56:04.925538
J0020	2014-09-23 15:26:31.951905
J0123	2014-10-30 17:28:38.074952
0806_C1_KT4715	2015-02-05 11:33:51.185304
1007_C2_MK1000	2015-01-07 16:30:34.310304
NODE_0000234	2014-07-11 17:02:48.673097
NODE_0000236	2014-08-10 06:32:49.661866
NODE_0000239	2014-10-01 09:30:28.267823
NODE_0000240	2014-11-20 23:26:12.066651
NODE_0000241	2015-02-12 19:56:34.918214
2208_C1_PL4256R	2015-03-03 15:04:01.292726
0807_C1_PL4123	2015-02-27 15:07:59.091798
0305_C1_PL5201	2015-03-21 15:11:07.452394
2507_C1_10022_EMLK	2015-01-18 16:21:17.633058
V20143036	2014-10-22 15:54:57.084962
3007_C2_77581_EMLK	2015-01-03 15:32:36.478272
2507_C1_77767_EMLK	2015-01-14 16:54:24.730226
Makona-G4972.1	2014-08-14 13:49:07.582398
0106_C2_KT2316	2014-12-02 19:15:15.743409
Makona-G5982.1	2014-09-23 15:23:17.164308
NODE_0000202	2014-06-19 13:34:23.353358
NODE_0000170	2014-06-19 18:35:01.900779
NODE_0000172	2014-06-29 21:17:18.067161
NODE_0000176	2014-07-05 11:29:37.515708
NODE_0000179	2014-07-08 02:45:00.861655
NODE_0000181	2014-07-11 10:17:28.476707
V509	2014-07-23 15:15:14.965354
Makona-G4347.1	2014-07-12 16:05:13.687049
Makona-G4264.1	2014-07-09 16:25:04.938041
J0021	2014-09-27 14:12:29.195396
V20146578	2014-12-24 14:26:44.522239
Makona-G3889.1	2014-06-19 19:29:44.511016
